t;Csour;Esol;Rt;A_405;A_450;A_492;A_630;A405;A450;A492;A630;;;;;;;;;;;;;;
10;CSC;N1;10;0.231;0.2;0.202;0.158;0.116;0.106;0.116;0.064;;;;;;;;;;;;;;
10;CSC;N1;20;0.174;0.139;0.146;0.107;0.059;0.045;0.06;0.013;;;;;;;;;;;;;;
10;CSC;N1;30;0.195;0.162;0.165;0.109;0.08;0.068;0.079;0.015;;;;;;;;;;;;;;
10;CSC;N1;40;0.199;0.165;0.18;0.139;0.084;0.071;0.094;0.045;;;;;;;;;;;;;;
10;CSC;N1;50;0.232;0.202;0.205;0.139;0.117;0.108;0.119;0.045;;;;;;;;;;;;;;
10;CSC;N1;60;0.191;0.169;0.187;0.145;0.076;0.075;0.101;0.051;;;;;;;;;;;;;;
10;CSC;N1;70;0.18;0.183;0.188;0.169;0.065;0.089;0.102;0.075;;;;;;;;;;;;;;
10;CSC;N1;80;0.179;0.165;0.172;0.132;0.064;0.071;0.086;0.038;;;;;;;;;;;;;;
10;CHT;N1;10;0.204;0.205;0.2;0.159;0.126;0.127;0.116;0.093;;;;;;;;;;;;;;
10;CHT;N1;20;0.147;0.14;0.143;0.106;0.069;0.062;0.059;0.04;;;;;;;;;;;;;;
10;CHT;N1;30;0.159;0.156;0.157;0.107;0.081;0.078;0.073;0.041;;;;;;;;;;;;;;
10;CHT;N1;40;0.189;0.182;0.195;0.148;0.111;0.104;0.111;0.082;;;;;;;;;;;;;;
10;CHT;N1;50;0.187;0.192;0.19;0.124;0.109;0.114;0.106;0.058;;;;;;;;;;;;;;
10;CHT;N1;60;0.167;0.165;0.181;0.144;0.089;0.087;0.097;0.078;;;;;;;;;;;;;;
10;CHT;N1;70;0.167;0.185;0.186;0.176;0.089;0.107;0.102;0.11;;;;;;;;;;;;;;
10;CHT;N1;80;0.137;0.15;0.152;0.126;0.059;0.072;0.068;0.06;;;;;;;;;;;;;;
10;CT;N1;10;0.283;0.277;0.244;0.148;0.21;0.214;0.182;0.084;;;;;;;;;;;;;;
10;CT;N1;20;0.279;0.279;0.26;0.122;0.206;0.216;0.198;0.058;;;;;;;;;;;;;;
10;CT;N1;30;0.365;0.367;0.342;0.154;0.292;0.304;0.28;0.09;;;;;;;;;;;;;;
10;CT;N1;40;0.384;0.393;0.394;0.193;0.311;0.33;0.332;0.129;;;;;;;;;;;;;;
10;CT;N1;50;0.374;0.384;0.333;0.183;0.301;0.321;0.271;0.119;;;;;;;;;;;;;;
10;CT;N1;60;0.344;0.357;0.368;0.195;0.271;0.294;0.306;0.131;;;;;;;;;;;;;;
10;CT;N1;70;0.34;0.367;0.377;0.277;0.267;0.304;0.315;0.213;;;;;;;;;;;;;;
10;CT;N1;80;0.293;0.314;0.3;0.178;0.22;0.251;0.238;0.114;;;;;;;;;;;;;;
10;CT;N2;10;0.312;0.298;0.278;0.206;0.26;0.257;0.235;0.164;;;;;;;;;;;;;;
10;CT;N2;20;0.366;0.359;0.351;0.192;0.314;0.318;0.308;0.15;;;;;;;;;;;;;;
10;CT;N2;30;0.356;0.348;0.338;0.181;0.304;0.307;0.295;0.139;;;;;;;;;;;;;;
10;CT;N2;40;0.367;0.36;0.369;0.213;0.315;0.319;0.326;0.171;;;;;;;;;;;;;;
10;CT;N2;50;0.369;0.361;0.349;0.201;0.317;0.32;0.306;0.159;;;;;;;;;;;;;;
10;CT;N2;60;0.338;0.338;0.349;0.2;0.286;0.297;0.306;0.158;;;;;;;;;;;;;;
10;CT;N2;70;0.342;0.362;0.359;0.231;0.29;0.321;0.316;0.189;;;;;;;;;;;;;;
10;CT;N2;80;0.296;0.305;0.305;0.189;0.244;0.264;0.262;0.147;;;;;;;;;;;;;;
10;FS;N3;10;0.22;0.207;0.193;0.175;0.163;0.161;0.15;0.125;;;;;;;;;;;;;;
10;FS;N3;20;0.154;0.141;0.135;0.109;0.097;0.095;0.092;0.059;;;;;;;;;;;;;;
10;FS;N3;30;0.135;0.118;0.11;0.103;0.078;0.072;0.067;0.053;;;;;;;;;;;;;;
10;FS;N3;40;0.16;0.146;0.157;0.141;0.103;0.1;0.114;0.091;;;;;;;;;;;;;;
10;FS;N3;50;0.172;0.16;0.145;0.129;0.115;0.114;0.102;0.079;;;;;;;;;;;;;;
10;FS;N3;60;0.149;0.142;0.153;0.14;0.092;0.096;0.11;0.09;;;;;;;;;;;;;;
10;FS;N3;70;0.149;0.168;0.163;0.165;0.092;0.122;0.12;0.115;;;;;;;;;;;;;;
10;FS;N3;80;0.112;0.118;0.112;0.117;0.055;0.072;0.069;0.067;;;;;;;;;;;;;;
10;CT;N3;10;0.245;0.23;0.218;0.182;0.164;0.153;0.154;0.106;;;;;;;;;;;;;;
10;CT;N3;20;0.167;0.149;0.147;0.118;0.086;0.072;0.083;0.042;;;;;;;;;;;;;;
10;CT;N3;30;0.185;0.165;0.159;0.13;0.104;0.088;0.095;0.054;;;;;;;;;;;;;;
10;CT;N3;40;0.221;0.203;0.215;0.16;0.14;0.126;0.151;0.084;;;;;;;;;;;;;;
10;CT;N3;50;0.283;0.268;0.257;0.175;0.202;0.191;0.193;0.099;;;;;;;;;;;;;;
10;CT;N3;60;0.227;0.217;0.23;0.159;0.146;0.14;0.166;0.083;;;;;;;;;;;;;;
10;CT;N3;70;0.282;0.295;0.294;0.204;0.201;0.218;0.23;0.128;;;;;;;;;;;;;;
10;CT;N3;80;0.263;0.258;0.259;0.163;0.182;0.181;0.195;0.087;;;;;;;;;;;;;;
10;CC;N1;10;0.22;0.207;0.193;0.175;0.149;0.149;0.134;0.114;;;;;;;;;;;;;;
10;CC;N1;20;0.154;0.141;0.135;0.109;0.083;0.083;0.076;0.048;;;;;;;;;;;;;;
10;CC;N1;30;0.135;0.118;0.11;0.103;0.064;0.06;0.051;0.042;;;;;;;;;;;;;;
10;CC;N1;40;0.16;0.146;0.157;0.141;0.089;0.088;0.098;0.08;;;;;;;;;;;;;;
10;CC;N1;50;0.172;0.16;0.145;0.129;0.101;0.102;0.086;0.068;;;;;;;;;;;;;;
10;CC;N1;60;0.149;0.142;0.153;0.14;0.078;0.084;0.094;0.079;;;;;;;;;;;;;;
10;CC;N1;70;0.149;0.168;0.163;0.165;0.078;0.11;0.104;0.104;;;;;;;;;;;;;;
10;CC;N1;80;0.112;0.118;0.112;0.117;0.041;0.06;0.053;0.056;;;;;;;;;;;;;;
10;CC;N2;10;0.319;0.309;0.294;0.23;0.26;0.249;0.22;0.177;;;;;;;;;;;;;;
10;CC;N2;20;0.362;0.351;0.351;0.199;0.303;0.291;0.277;0.146;;;;;;;;;;;;;;
10;CC;N2;30;0.417;0.406;0.398;0.218;0.358;0.346;0.324;0.165;;;;;;;;;;;;;;
10;CC;N2;40;0.401;0.393;0.402;0.229;0.342;0.333;0.328;0.176;;;;;;;;;;;;;;
10;CC;N2;50;0.445;0.438;0.428;0.241;0.386;0.378;0.354;0.188;;;;;;;;;;;;;;
10;CC;N2;60;0.425;0.422;0.433;0.234;0.366;0.362;0.359;0.181;;;;;;;;;;;;;;
10;CC;N2;70;0.313;0.331;0.332;0.209;0.254;0.271;0.258;0.156;;;;;;;;;;;;;;
10;CC;N2;80;0.29;0.29;0.291;0.166;0.231;0.23;0.217;0.113;;;;;;;;;;;;;;
10;CS;N1;10;0.219;0.208;0.193;0.18;0.132;0.115;0.085;0.099;;;;;;;;;;;;;;
10;CS;N1;20;0.15;0.131;0.128;0.111;0.063;0.038;0.02;0.03;;;;;;;;;;;;;;
10;CS;N1;30;0.164;0.147;0.136;0.121;0.077;0.054;0.028;0.04;;;;;;;;;;;;;;
10;CS;N1;40;0.185;0.168;0.176;0.143;0.098;0.075;0.068;0.062;;;;;;;;;;;;;;
10;CS;N1;50;0.281;0.27;0.261;0.185;0.194;0.177;0.153;0.104;;;;;;;;;;;;;;
10;CS;N1;60;0.259;0.248;0.259;0.18;0.172;0.155;0.151;0.099;;;;;;;;;;;;;;
10;CS;N1;70;0.155;0.163;0.163;0.156;0.068;0.07;0.055;0.075;;;;;;;;;;;;;;
10;CS;N1;80;0.135;0.128;0.129;0.12;0.048;0.035;0.021;0.039;;;;;;;;;;;;;;
10;CT;N4;10;0.293;0.285;0.266;0.18;0.248;0.244;0.22;0.131;;;;;;;;;;;;;;
10;CT;N4;20;0.251;0.235;0.23;0.109;0.206;0.194;0.184;0.06;;;;;;;;;;;;;;
10;CT;N4;30;0.347;0.33;0.318;0.122;0.302;0.289;0.272;0.073;;;;;;;;;;;;;;
10;CT;N4;40;0.388;0.373;0.378;0.122;0.343;0.332;0.332;0.073;;;;;;;;;;;;;;
