t;Extract;Rt;A_405;A_450;A_492;A_630
5;E1;10;0,178;0,179;0,182;0,188
5;E1;20;0,217;0,215;0,217;0,222
5;E1;30;0,277;0,264;0,27;0,279
5;E1;40;0,327;0,352;0,345;0,348
5;E1;50;0,355;0,367;0,366;0,366
5;E1;60;0,452;0,484;0,484;0,486
5;E1;70;0,48;0,489;0,492;0,498
5;E1;80;0,55;0,564;0,566;0,568
5;E1;90;0,6;0,614;0,62;0,625
5;E1;100;0,65;0,671;0,676;0,681
5;E2;10;0,437;0,442;0,442;0,449
5;E2;20;0,876;0,868;0,864;0,865
5;E2;30;1,271;1,277;1,283;1,277
5;E2;40;1,502;1,498;1,502;1,499
5;E2;50;2,131;2,143;2,14;2,131
5;E2;60;2,273;2,167;2,168;2,168
5;E2;70;2,408;2,256;2,284;2,253
5;E2;80;2,471;2,302;2,324;2,324
5;E2;90;2,466;2,29;2,299;2,302
5;E2;100;2,455;2,356;2,364;2,354
5;E3;10;0,174;0,153;0,155;0,155
5;E3;20;0,219;0,213;0,214;0,213
5;E3;30;0,253;0,261;0,269;0,263
5;E3;40;0,327;0,334;0,328;0,338
5;E3;50;0,439;0,475;0,474;0,474
5;E3;60;0,476;0,484;0,485;0,484
5;E3;70;0,476;0,482;0,483;0,484
5;E3;80;0,542;0,566;0,562;0,563
5;E3;90;0,612;0,621;0,623;0,624
5;E3;100;0,735;0,754;0,752;0,751
5;E4;10;0,262;0,28;0,282;0,288
5;E4;20;0,271;0,302;0,307;0,312
5;E4;30;0,313;0,333;0,342;0,344
5;E4;40;0,31;0,347;0,349;0,364
5;E4;50;0,358;0,391;0,392;0,395
5;E4;60;0,382;0,407;0,409;0,409
5;E4;70;0,44;0,465;0,47;0,467
5;E4;80;0,443;0,469;0,471;0,471
5;E4;90;0,528;0,553;0,555;0,554
5;E4;100;0,592;0,611;0,609;0,608
5;E5;10;0,186;0,168;0,171;0,165
5;E5;20;0,238;0,223;0,21;0,195
5;E5;30;0,238;0,229;0,216;0,219
5;E5;40;0,262;0,27;0,277;0,285
5;E5;50;0,311;0,301;0,298;0,301
5;E5;60;0,332;0,33;0,336;0,336
5;E5;70;0,402;0,42;0,414;0,411
5;E5;80;0,415;0,418;0,422;0,422
5;E5;90;0,438;0,436;0,439;0,441
5;E5;100;0,453;0,454;0,445;0,459
15;E1;10;0,187;0,192;0,191;0,196
15;E1;20;0,219;0,222;0,222;0,228
15;E1;30;0,289;0,29;0,291;0,288
15;E1;40;0,373;0,345;0,357;0,324
15;E1;50;0,371;0,375;0,376;0,382
15;E1;60;0,492;0,496;0,496;0,499
15;E1;70;0,496;0,495;0,495;0,496
15;E1;80;0,571;0,574;0,575;0,574
15;E1;90;0,628;0,634;0,632;0,632
15;E1;100;0,683;0,687;0,687;0,684
15;E2;10;0,442;0,448;0,448;0,45
15;E2;20;0,86;0,859;0,857;0,859
15;E2;30;1,265;1,269;1,27;1,281
15;E2;40;1,497;1,496;1,498;1,498
15;E2;50;2,126;2,13;2,129;2,129
15;E2;60;2,193;2,187;2,172;2,159
15;E2;70;2,311;2,306;2,281;2,272
15;E2;80;2,367;2,355;2,34;2,31
15;E2;90;2,367;2,365;2,344;2,307
15;E2;100;2,456;2,418;2,398;2,349
15;E3;10;0,15;0,156;0,154;0,153
15;E3;20;0,213;0,214;0,215;0,216
15;E3;30;0,256;0,261;0,265;0,278
15;E3;40;0,35;0,333;0,346;0,316
15;E3;50;0,47;0,47;0,474;0,478
15;E3;60;0,484;0,485;0,487;0,486
15;E3;70;0,48;0,479;0,482;0,487
15;E3;80;0,557;0,559;0,562;0,566
15;E3;90;0,618;0,62;0,621;0,624
15;E3;100;0,746;0,747;0,752;0,75
15;E4;10;0,291;0,295;0,297;0,304
15;E4;20;0,306;0,31;0,315;0,338
15;E4;30;0,341;0,344;0,351;0,358
15;E4;40;0,382;0,356;0,379;0,345
15;E4;50;0,397;0,393;0,397;0,401
15;E4;60;0,414;0,416;0,42;0,425
15;E4;70;0,465;0,463;0,465;0,473
15;E4;80;0,468;0,47;0,472;0,477
15;E4;90;0,552;0,556;0,556;0,56
15;E4;100;0,601;0,602;0,605;0,607
15;E5;10;0,169;0,175;0,172;0,166
15;E5;20;0,228;0,209;0,205;0,194
15;E5;30;0,234;0,223;0,223;0,205
15;E5;40;0,302;0,303;0,298;0,306
15;E5;50;0,308;0,308;0,309;0,311
15;E5;60;0,342;0,342;0,347;0,347
15;E5;70;0,409;0,404;0,408;0,415
15;E5;80;0,426;0,425;0,429;0,429
15;E5;90;0,444;0,438;0,446;0,447
15;E5;100;0,464;0,451;0,459;0,456
25;E1;10;0,196;0,202;0,204;0,203
25;E1;20;0,222;0,221;0,225;0,229
25;E1;30;0,296;0,292;0,287;0,292
25;E1;40;0,355;0,326;0,352;0,362
25;E1;50;0,382;0,383;0,384;0,379
25;E1;60;0,489;0,497;0,495;0,491
25;E1;70;0,496;0,495;0,496;0,493
25;E1;80;0,578;0,583;0,584;0,577
25;E1;90;0,637;0,641;0,642;0,636
25;E1;100;0,692;0,69;0,692;0,687
25;E2;10;0,448;0,448;0,452;0,451
25;E2;20;0,852;0,848;0,852;0,848
25;E2;30;1,256;1,25;1,257;1,255
25;E2;40;1,498;1,478;1,486;1,477
25;E2;50;2,106;2,109;2,104;2,101
25;E2;60;2,195;2,134;2,132;2,162
25;E2;70;2,326;2,216;2,25;2,286
25;E2;80;2,386;2,266;2,293;2,337
25;E2;90;2,393;2,236;2,278;2,337
25;E2;100;2,468;2,292;2,334;2,39
25;E3;10;0,158;0,162;0,162;0,16
25;E3;20;0,216;0,216;0,215;0,215
25;E3;30;0,26;0,259;0,267;0,262
25;E3;40;0,349;0,307;0,351;0,354
25;E3;50;0,466;0,475;0,475;0,468
25;E3;60;0,475;0,486;0,484;0,48
25;E3;70;0,48;0,486;0,484;0,485
25;E3;80;0,555;0,565;0,568;0,56
25;E3;90;0,611;0,621;0,622;0,619
25;E3;100;0,738;0,751;0,751;0,745
25;E4;10;0,306;0,315;0,319;0,316
25;E4;20;0,311;0,324;0,327;0,328
25;E4;30;0,353;0,355;0,361;0,355
25;E4;40;0,395;0,346;0,393;0,386
25;E4;50;0,396;0,408;0,408;0,404
25;E4;60;0,422;0,437;0,438;0,432
25;E4;70;0,459;0,471;0,469;0,466
25;E4;80;0,472;0,485;0,487;0,478
25;E4;90;0,553;0,568;0,564;0,562
25;E4;100;0,593;0,606;0,607;0,6
25;E5;10;0,17;0,179;0,174;0,17
25;E5;20;0,24;0,219;0,211;0,198
25;E5;30;0,245;0,221;0,224;0,219
25;E5;40;0,335;0,302;0,327;0,341
25;E5;50;0,319;0,313;0,321;0,317
25;E5;60;0,34;0,346;0,347;0,348
25;E5;70;0,407;0,415;0,414;0,414
25;E5;80;0,432;0,428;0,443;0,436
25;E5;90;0,453;0,448;0,454;0,458
25;E5;100;0,472;0,462;0,464;0,462
35;E1;10;0,213;0,214;0,224;0,217
35;E1;20;0,225;0,228;0,246;0,235
35;E1;30;0,298;0,306;0,327;0,31
35;E1;40;0,346;0,355;0,338;0,369
35;E1;50;0,398;0,384;0,387;0,39
35;E1;60;0,488;0,489;0,476;0,485
35;E1;70;0,498;0,497;0,502;0,492
35;E1;80;0,584;0,583;0,582;0,582
35;E1;90;0,632;0,631;0,635;0,638
35;E1;100;0,698;0,696;0,695;0,676
35;E2;10;0,456;0,454;0,454;0,455
35;E2;20;0,843;0,841;0,863;0,838
35;E2;30;1,237;1,239;1,24;1,237
35;E2;40;1,478;1,478;1,472;1,477
35;E2;50;2,071;2,073;2,047;2,073
35;E2;60;2,166;2,165;2,247;2,158
35;E2;70;2,29;2,287;2,404;2,258
35;E2;80;2,344;2,341;2,475;2,338
35;E2;90;2,344;2,338;2,513;2,322
35;E2;100;2,402;2,407;2,549;2,396
35;E3;10;0,167;0,168;0,184;0,172
35;E3;20;0,217;0,217;0,239;0,221
35;E3;30;0,265;0,261;0,265;0,264
35;E3;40;0,359;0,365;0,345;0,365
35;E3;50;0,464;0,463;0,436;0,469
35;E3;60;0,478;0,479;0,481;0,481
35;E3;70;0,486;0,487;0,487;0,486
35;E3;80;0,558;0,559;0,543;0,561
35;E3;90;0,621;0,622;0,626;0,623
35;E3;100;0,735;0,734;0,72;0,738
35;E4;10;0,341;0,342;0,335;0,348
35;E4;20;0,321;0,323;0,31;0,323
35;E4;30;0,371;0,369;0,363;0,373
35;E4;40;0,391;0,397;0,365;0,419
35;E4;50;0,406;0,403;0,383;0,412
35;E4;60;0,438;0,439;0,417;0,439
35;E4;70;0,464;0,461;0,444;0,465
35;E4;80;0,489;0,49;0,47;0,493
35;E4;90;0,565;0,564;0,55;0,568
35;E4;100;0,599;0,596;0,584;0,598
35;E5;10;0,18;0,181;0,205;0,19
35;E5;20;0,219;0,236;0,285;0,243
35;E5;30;0,237;0,228;0,269;0,245
35;E5;40;0,384;0,383;0,357;0,38
35;E5;50;0,324;0,322;0,342;0,328
35;E5;60;0,355;0,351;0,368;0,359
35;E5;70;0,414;0,41;0,402;0,411
35;E5;80;0,441;0,436;0,447;0,445
35;E5;90;0,463;0,463;0,479;0,463
35;E5;100;0,466;0,47;0,498;0,473
45;E1;10;0,218;0,222;0,225;0,224
45;E1;20;0,219;0,22;0,22;0,226
45;E1;30;0,314;0,213;0,312;0,327
45;E1;40;0,353;0,38;0,361;0,358
45;E1;50;0,391;0,391;0,393;0,386
45;E1;60;0,493;0,492;0,49;0,487
45;E1;70;0,499;0,499;0,5;0,497
45;E1;80;0,587;0,59;0,59;0,585
45;E1;90;0,631;0,634;0,632;0,627
45;E1;100;0,7;0,701;0,699;0,697
45;E2;10;0,452;0,456;0,463;0,457
45;E2;20;0,835;0,835;0,836;0,833
45;E2;30;1,231;1,226;1,23;1,226
45;E2;40;1,468;1,47;1,463;1,466
45;E2;50;2,065;2,078;2,072;2,067
45;E2;60;2,167;2,114;2,138;2,167
45;E2;70;2,3;2,212;2,25;2,289
45;E2;80;2,345;2,253;2,299;2,35
45;E2;90;2,355;2,253;2,267;2,343
45;E2;100;2,465;2,278;2,32;2,442
45;E3;10;0,171;0,177;0,177;0,181
45;E3;20;0,22;0,224;0,221;0,222
45;E3;30;0,266;0,265;0,27;0,264
45;E3;40;0,36;0,384;0,36;0,364
45;E3;50;0,463;0,472;0,471;0,461
45;E3;60;0,481;0,487;0,486;0,483
45;E3;70;0,482;0,489;0,487;0,484
45;E3;80;0,559;0,57;0,566;0,558
45;E3;90;0,622;0,631;0,63;0,626
45;E3;100;0,734;0,745;0,745;0,737
45;E4;10;0,337;0,348;0,354;0,35
45;E4;20;0,319;0,33;0,334;0,323
45;E4;30;0,377;0,382;0,385;0,378
45;E4;40;0,39;0,408;0,398;0,393
45;E4;50;0,402;0,417;0,419;0,405
45;E4;60;0,438;0,45;0,447;0,44
45;E4;70;0,464;0,475;0,475;0,468
45;E4;80;0,498;0,51;0,508;0,498
45;E4;90;0,561;0,576;0,574;0,564
45;E4;100;0,596;0,609;0,608;0,599
45;E5;10;0,185;0,196;0,189;0,194
45;E5;20;0,263;0,245;0,229;0,255
45;E5;30;0,236;0,24;0,227;0,243
45;E5;40;0,385;0,395;0,372;0,396
45;E5;50;0,326;0,33;0,33;0,325
45;E5;60;0,356;0,367;0,361;0,359
45;E5;70;0,406;0,421;0,416;0,412
45;E5;80;0,447;0,455;0,454;0,438
45;E5;90;0,467;0,475;0,471;0,466
45;E5;100;0,477;0,466;0,47;0,476
55;E1;10;0,231;0,225;0,235;0,235
55;E1;20;0,229;0,23;0,232;0,232
55;E1;30;0,31;0,316;0,322;0,31
55;E1;40;0,368;0,374;0,371;0,381
55;E1;50;0,401;0,4;0,399;0,402
55;E1;60;0,496;0,495;0,49;0,492
55;E1;70;0,513;0,513;0,51;0,511
55;E1;80;0,593;0,594;0,588;0,593
55;E1;90;0,641;0,64;0,636;0,639
55;E1;100;0,715;0,703;0,705;0,703
55;E2;10;0,463;0,458;0,473;0,474
55;E2;20;0,831;0,829;0,832;0,834
55;E2;30;1,226;1,224;1,223;1,218
55;E2;40;1,476;1,454;1,471;1,463
55;E2;50;2,062;2,06;2,063;2,058
55;E2;60;2,157;2,147;2,154;2,143
55;E2;70;2,26;2,255;2,266;2,247
55;E2;80;2,333;2,327;2,331;2,301
55;E2;90;2,319;2,311;2,316;2,297
55;E2;100;2,412;2,364;2,382;2,355
55;E3;10;0,177;0,175;0,18;0,178
55;E3;20;0,224;0,224;0,226;0,226
55;E3;30;0,265;0,271;0,265;0,262
55;E3;40;0,364;0,367;0,367;0,373
55;E3;50;0,458;0,466;0,458;0,462
55;E3;60;0,479;0,484;0,481;0,485
55;E3;70;0,487;0,489;0,486;0,485
55;E3;80;0,557;0,56;0,55;0,56
55;E3;90;0,625;0,63;0,627;0,633
55;E3;100;0,731;0,735;0,733;0,737
55;E4;10;0,338;0,348;0,339;0,342
55;E4;20;0,312;0,333;0,321;0,328
55;E4;30;0,37;0,392;0,375;0,371
55;E4;40;0,389;0,392;0,389;0,382
55;E4;50;0,402;0,416;0,401;0,411
55;E4;60;0,43;0,444;0,429;0,435
55;E4;70;0,464;0,475;0,462;0,468
55;E4;80;0,492;0,501;0,487;0,495
55;E4;90;0,561;0,57;0,559;0,568
55;E4;100;0,599;0,602;0,594;0,594
55;E5;10;0,198;0,198;0,199;0,197
55;E5;20;0,269;0,26;0,255;0,26
55;E5;30;0,244;0,231;0,243;0,231
55;E5;40;0,404;0,376;0,402;0,392
55;E5;50;0,33;0,331;0,326;0,332
55;E5;60;0,363;0,367;0,355;0,369
55;E5;70;0,413;0,419;0,413;0,417
55;E5;80;0,451;0,444;0,443;0,451
55;E5;90;0,471;0,474;0,468;0,547
55;E5;100;0,477;0,481;0,478;0,476
65;E1;10;0,233;0,235;0,237;0,241
65;E1;20;0,235;0,24;0,239;0,243
65;E1;30;0,322;0,321;0,327;0,326
65;E1;40;0,393;0,392;0,382;0,396
65;E1;50;0,418;0,423;0,421;0,427
65;E1;60;0,512;0,515;0,504;0,507
65;E1;70;0,532;0,529;0,526;0,529
65;E1;80;0,606;0,609;0,603;0,609
65;E1;90;0,649;0,649;0,646;0,648
65;E1;100;0,716;0,714;0,713;0,713
65;E2;10;0,464;0,466;0,47;0,488
65;E2;20;0,824;0,827;0,828;0,835
65;E2;30;1,216;1,219;1,216;1,227
65;E2;40;1,451;1,446;1,443;1,457
65;E2;50;2,043;2,047;2,044;2,061
65;E2;60;2,136;2,12;2,187;2,11
65;E2;70;2,241;2,208;2,293;2,213
65;E2;80;2,311;2,273;2,357;2,258
65;E2;90;2,296;2,242;2,361;2,237
65;E2;100;2,376;2,29;2,472;2,285
65;E3;10;0,178;0,178;0,18;0,182
65;E3;20;0,221;0,222;0,221;0,225
65;E3;30;0,273;0,276;0,274;0,276
65;E3;40;0,373;0,362;0,353;0,368
65;E3;50;0,466;0,471;0,459;0,465
65;E3;60;0,488;0,49;0,487;0,489
65;E3;70;0,489;0,494;0,488;0,484
65;E3;80;0,561;0,568;0,558;0,561
65;E3;90;0,632;0,632;0,627;0,631
65;E3;100;0,739;0,741;0,728;0,737
65;E4;10;0,354;0,358;0,353;0,346
65;E4;20;0,327;0,336;0,332;0,33
65;E4;30;0,39;0,396;0,395;0,387
65;E4;40;0,383;0,383;0,396;0,373
65;E4;50;0,423;0,431;0,422;0,419
65;E4;60;0,448;0,453;0,44;0,438
65;E4;70;0,482;0,48;0,478;0,474
65;E4;80;0,504;0,512;0,501;0,503
65;E4;90;0,571;0,577;0,564;0,569
65;E4;100;0,607;0,611;0,601;0,594
65;E5;10;0,196;0,196;0,199;0,199
65;E5;20;0,253;0,239;0,244;0,256
65;E5;30;0,24;0,237;0,245;0,242
65;E5;40;0,392;0,39;0,396;0,387
65;E5;50;0,336;0,339;0,338;0,337
65;E5;60;0,365;0,366;0,37;0,368
65;E5;70;0,423;0,431;0,425;0,416
65;E5;80;0,453;0,466;0,455;0,459
65;E5;90;0,48;0,479;0,474;0,474
65;E5;100;0,487;0,484;0,487;0,479
75;E1;10;0,239;0,235;0,24;0,241
75;E1;20;0,254;0,254;0,257;0,252
75;E1;30;0,341;0,334;0,345;0,342
75;E1;40;0,37;0,417;0,406;0,408
75;E1;50;0,448;0,448;0,451;0,453
75;E1;60;0,53;0,533;0,527;0,538
75;E1;70;0,547;0,548;0,55;0,552
75;E1;80;0,628;0,627;0,627;0,629
75;E1;90;0,662;0,666;0,666;0,67
75;E1;100;0,731;0,725;0,724;0,722
75;E2;10;0,481;0,483;0,483;0,495
75;E2;20;0,823;0,82;0,825;0,826
75;E2;30;1,2;1,201;1,203;1,209
75;E2;40;1,445;1,434;1,43;1,427
75;E2;50;2,042;2,048;2,031;2,043
75;E2;60;2,138;2,147;2,213;2,166
75;E2;70;2,254;2,251;2,348;2,259
75;E2;80;2,31;2,297;2,406;2,341
75;E2;90;2,323;2,297;2,409;2,328
75;E2;100;2,378;2,361;2,504;2,383
75;E3;10;0,191;0,182;0,184;0,187
75;E3;20;0,229;0,222;0,227;0,223
75;E3;30;0,281;0,28;0,281;0,28
75;E3;40;0,305;0,379;0,346;0,357
75;E3;50;0,467;0,464;0,448;0,461
75;E3;60;0,494;0,495;0,491;0,494
75;E3;70;0,485;0,487;0,483;0,485
75;E3;80;0,562;0,563;0,554;0,564
75;E3;90;0,634;0,636;0,635;0,642
75;E3;100;0,73;0,734;0,721;0,731
75;E4;10;0,351;0,357;0,35;0,357
75;E4;20;0,329;0,337;0,325;0,338
75;E4;30;0,388;0,394;0,395;0,399
75;E4;40;0,362;0,391;0,393;0,395
75;E4;50;0,434;0,435;0,424;0,433
75;E4;60;0,449;0,453;0,44;0,45
75;E4;70;0,477;0,483;0,474;0,483
75;E4;80;0,507;0,511;0,503;0,514
75;E4;90;0,572;0,582;0,564;0,58
75;E4;100;0,61;0,606;0,589;0,601
75;E5;10;0,223;0,204;0,21;0,21
75;E5;20;0,307;0,257;0,268;0,273
75;E5;30;0,268;0,247;0,26;0,254
75;E5;40;0,326;0,397;0,394;0,407
75;E5;50;0,346;0,343;0,345;0,343
75;E5;60;0,38;0,381;0,379;0,377
75;E5;70;0,423;0,424;0,416;0,431
75;E5;80;0,466;0,465;0,458;0,48
75;E5;90;0,488;0,492;0,487;0,496
75;E5;100;0,477;0,476;0,483;0,488
85;E1;10;0,249;0,248;0,252;0,245
85;E1;20;0,27;0,269;0,276;0,275
85;E1;30;0,361;0,362;0,368;0,367
85;E1;40;0,432;0,448;0,453;0,45
85;E1;50;0,468;0,475;0,478;0,481
85;E1;60;0,563;0,565;0,57;0,571
85;E1;70;0,581;0,581;0,587;0,584
85;E1;80;0,656;0,659;0,657;0,659
85;E1;90;0,685;0,69;0,69;0,689
85;E1;100;0,743;0,745;0,744;0,744
85;E2;10;0,504;0,514;0,515;0,515
85;E2;20;0,822;0,827;0,828;0,828
85;E2;30;1,204;1,216;1,215;1,21
85;E2;40;1,436;1,432;1,442;1,429
85;E2;50;2,306;2,048;2,049;2,05
85;E2;60;2,155;2,123;2,138;2,127
85;E2;70;2,261;2,231;2,234;2,237
85;E2;80;2,328;2,268;2,276;2,303
85;E2;90;2,317;2,253;2,273;2,264
85;E2;100;2,389;2,315;2,33;2,324
85;E3;10;0,192;0,19;0,193;0,188
85;E3;20;0,224;0,221;0,222;0,223
85;E3;30;0,276;0,28;0,274;0,28
85;E3;40;0,362;0,363;0,371;0,369
85;E3;50;0,448;0,457;0,453;0,458
85;E3;60;0,494;0,494;0,495;0,494
85;E3;70;0,483;0,481;0,482;0,482
85;E3;80;0,557;0,564;0,56;0,565
85;E3;90;0,632;0,634;0,631;0,637
85;E3;100;0,724;0,73;0,725;0,734
85;E4;10;0,347;0,351;0,434;0,348
85;E4;20;0,323;0,33;0,328;0,335
85;E4;30;0,381;0,391;0,387;0,395
85;E4;40;0,396;0,38;0,377;0,37
85;E4;50;0,425;0,43;0,424;0,436
85;E4;60;0,44;0,44;0,439;0,447
85;E4;70;0,475;0,477;0,476;0,481
85;E4;80;0,502;0,51;0,5;0,51
85;E4;90;0,565;0,573;0,563;0,547
85;E4;100;0,592;0,596;0,589;0,599
85;E5;10;0,22;0,211;0,217;0,211
85;E5;20;0,266;0,268;0,276;0,279
85;E5;30;0,271;0,263;0,262;0,262
85;E5;40;0,412;0,405;0,407;0,407
85;E5;50;0,345;0,349;0,346;0,355
85;E5;60;0,381;0,391;0,383;0,383
