wavelength (nm);5_8_2023;5_8_2024;5_8_2025;5_8_2026;5_8_2027;5_8_2028;5_8_2029;5_8_2030;5_8_2031;5_8_2032;12/06/2023;12/06/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;08/05/2023;08/05/2023;22_05_2023;22_05_2024;22_05_2025;22_05_2026;22_05_2027;22_05_2028;22_05_2029;22_05_2030;22_05_2031;22_05_2032;22_05_2033;22_05_2034;22_05_2035;22_05_2036;22_05_2037;22_05_2038;22_05_2039
190;289.703;352.853;355.374;361.45;260.739;267.977;257.422;260.276;269.429;257.199;-0.382;-0.382;91.191;103.572;168.087;131.842;130.045;298.693;354.006;292.493;99.747;16.419;74.465;73.39;80.737;175.911;402.802;432.766;81.852;178.756;357.82;87.877;250.15;68.676;86.797;44.482;27.03;4.893;298.981;143.946;69.638
190.5;293.841;357.93;358.011;363.171;264.991;272.778;258.242;260.428;266.651;254.819;-0.37;-0.37;87.053;100.717;162.834;127.234;125.965;295.014;351.641;291.243;99.6;16.017;74.453;70.743;80.366;174.547;405.41;433.026;81.801;179.005;359.96;87.539;250.776;69.063;88.463;45.439;27.079;4.887;298.031;143.19;70.007
191;295.728;360.549;359.285;362.714;269.288;275.529;258.736;263.639;264.722;253.536;-0.332;-0.332;84.146;99.497;157.612;123.074;122.053;293.962;349.409;290.546;99.645;16.039;73.349;70.109;81.38;174.035;409.92;432.903;81.704;178.444;359.273;88.076;250.913;69.512;89.07;46.171;27.606;4.854;297.438;143.095;69.843
191.5;297.001;362.718;360.483;365.747;272.271;280.622;259.51;264.42;262.999;252.718;-0.297;-0.297;81.968;99.864;152.512;119.117;118.423;293.44;347.169;290.302;99.605;16.037;73.837;70.574;82.015;174.51;409.546;432.867;82.342;177.945;359.62;88.709;250.569;70.072;89.776;46.512;27.874;4.791;296.816;142.388;69.715
192;297.529;363.462;361.594;370.453;274.764;284.108;259.552;264.156;261.976;250.857;-0.258;-0.258;80.329;98.244;148.746;115.431;115.066;292.44;345.878;290.167;99.579;16.185;73.815;70.417;81.423;174.184;409.734;435.392;82.721;178.097;359.175;88.925;251.65;70.46;90.289;46.917;28.181;4.769;295.353;142.043;69.305
192.5;297.198;367.993;360.395;374.839;277.635;287.527;259.45;264.507;259.567;249.215;-0.23;-0.23;78.292;96.186;145.263;112.111;111.953;292.104;346.667;289.836;99.547;16.234;75.74;71.021;81.265;174.532;410.216;435.638;83.887;178.43;361.861;89.446;251.514;70.315;90.626;47.448;28.43;4.759;293.416;141.445;68.77
193;296.52;370.506;359.424;377.32;279.33;287.953;258.853;265.481;258.842;248.141;-0.207;-0.207;76.569;93.696;142.161;109.313;109.117;292.369;346.724;290.331;100.021;16.398;79.204;71.901;79.879;174.779;411.263;436.563;84.512;178.387;362.571;89.17;251.282;70.918;91.405;48.339;28.72;4.715;291.36;140.973;68.137
193.5;296.837;374.007;361.18;377.336;280.979;290.459;260.045;264.953;256.659;246.655;-0.199;-0.199;74.929;90.94;139.415;106.751;106.438;292.51;348.063;290.325;99.983;16.487;80.268;72.854;79.588;174.858;412.431;441.167;84.843;178.322;363.216;89.907;250.611;71.327;93.029;48.717;28.95;4.658;289.794;139.915;67.119
194;297.965;373.422;361.784;376.451;284.379;292.479;261.135;265.237;252.186;244.093;-0.2;-0.2;73.273;88.754;136.662;104.319;104.243;292.725;349.489;290.845;99.689;16.48;81.797;73.598;79.248;174.5;412.129;441.211;85.247;178.455;363.18;89.577;249.037;71.867;94.747;49.339;29.309;4.622;287.473;138.792;66.285
194.5;300.29;370.815;362.578;372.671;287.153;294.449;259.917;263.364;248.82;242.073;-0.196;-0.196;71.838;87.11;134.211;101.97;102.115;292.702;349.879;290.649;99.708;16.543;80.794;73.621;79.071;173.517;410.005;442.446;85.201;179.03;362.529;88.338;247.288;72.521;95.289;50.275;29.686;4.62;284.561;136.665;65.651
195;300.792;371.597;361.536;368.026;288.9;298.94;259.55;263.103;246.143;239.881;-0.193;-0.193;70.412;85.059;131.54;99.711;99.742;292.545;349.043;291.929;99.946;16.451;80.16;73.564;79.342;172.435;408.629;438.798;84.572;178.89;361.532;87.543;245.354;73.48;97.295;51.263;29.913;4.617;281.544;134.237;65.166
195.5;301.095;372.111;357.281;363.006;293.366;302.76;259.103;261.758;244.06;237.449;-0.194;-0.194;68.675;83.156;128.653;97.701;97.39;293.772;348.364;293.196;100.111;16.419;80.66;73.447;79.469;171.464;408.867;437.701;84.235;178.025;358.907;86.628;243.309;74.818;98.366;52.382;30.169;4.557;276.996;131.728;64.439
196;299.503;371.436;353.094;358.334;297.711;305.16;257.622;262.399;241.517;235.517;-0.18;-0.18;67.2;82.211;125.889;95.612;95.324;294.73;347.867;294.62;100.123;16.557;80.564;74.041;79.829;170.55;407.194;435.723;83.17;176.554;357.317;86.424;241.059;75.645;99.56;53.037;30.626;4.477;273.042;129.312;63.552
196.5;297.128;369.423;349.074;352.041;298.935;309.807;255.948;260.227;239.742;233.225;-0.173;-0.173;65.938;81.087;123.369;93.959;93.469;294.244;348.628;294.387;100.4;16.676;80.762;75.454;80.31;169.699;403.826;432.754;82.228;174.895;355.64;85.49;240;76.547;100.294;53.365;30.942;4.425;268.193;126.304;62.514
197;295.371;367.911;344.927;348.463;302.141;311.366;255.394;258.578;238.465;229.738;-0.154;-0.154;64.731;79.419;120.946;92.159;91.535;293.818;348.734;295.161;100.638;16.707;79.987;75.873;79.997;168.38;401.356;432.829;81.195;173.577;351.675;84.686;238.739;77.426;100.86;53.763;31.444;4.362;262.418;124.244;61.119
197.5;293.533;368.122;339.737;346.39;304.006;313.495;252.837;257.529;235.491;226.537;-0.147;-0.147;63.523;77.975;118.478;90.505;89.726;293.162;347.713;295.078;100.904;16.756;81.723;77.303;79.288;167.036;397.29;429.032;81.333;172.836;348.689;83.746;236.441;77.984;101.1;54.227;31.937;4.292;255.612;121.55;59.522
198;289.877;362.402;336.557;341.482;305.746;315.874;251.902;254.371;233.293;224.191;-0.142;-0.142;62.572;76.873;116.229;89.115;88.237;292.846;347.046;294.59;100.894;16.842;82.628;78.405;77.932;165.822;392.871;426.627;80.097;170.851;345.475;83.577;234.329;78.651;101.893;55.24;32.299;4.203;249.787;118.973;58.076
198.5;287.107;361.422;333.421;335.551;306.894;318.297;249.936;251.934;230.655;223.024;-0.147;-0.147;61.387;75.906;114.062;87.68;86.798;291.86;346.769;294.072;100.715;16.737;82.869;79.085;77.436;164.213;388.09;422.463;79.769;168.781;341.807;83.033;230.098;79.427;103.104;56.026;32.752;4.07;243.477;115.636;56.257
199;285.77;358.575;328.509;329.29;308.011;318.881;247.433;249.132;228.047;221.666;-0.141;-0.141;59.949;74.978;111.929;86.479;85.877;290.838;345.329;293.083;100.658;16.802;82.829;79.373;75.711;162.104;382.622;415.908;79.646;166.478;337.865;81.566;226.164;80.102;103.982;56.639;33.152;3.96;236.585;111.881;54.487
199.5;281.988;354.23;322.594;321.774;308.173;320.732;244.577;245.553;226.652;221.17;-0.138;-0.138;58.332;73.664;110.132;85.302;84.645;289.512;343.918;292.318;100.667;16.813;81.008;79.515;74.914;160.152;376.476;409.207;78.556;164.317;334.14;80.075;222.711;80.57;103.73;57.073;33.349;3.865;229.611;108.073;52.507
200;278.165;350.711;314.707;315.252;308.019;323.122;241.099;243.295;225.884;220.277;-0.135;-0.135;57.042;72.433;108.394;83.971;83.193;288.527;341.155;292.016;100.437;16.741;81.647;79.156;73.924;157.834;372.921;401.536;77.477;161.481;329.868;78.716;219.348;80.152;103.695;57.312;33.526;3.75;221.444;104.346;50.682
200.5;275.49;348.916;306.507;308.359;309.224;324.053;237.38;239.462;224.981;218.894;-0.128;-0.128;55.846;70.955;106.903;82.905;81.873;287.062;339.42;290.148;100.16;16.708;83.267;79.9;72.692;155.218;366.141;397.293;76.135;158.108;323.995;77.304;215.835;80.193;103.3;57.516;33.693;3.61;214.09;100.696;48.952
201;272.995;348.294;302.077;302.735;311.833;324.787;234.344;236.528;223.879;217.91;-0.115;-0.115;54.965;69.914;105.358;81.457;80.784;284.729;338.064;287.769;99.924;16.672;85.011;80.628;71.471;152.405;360.335;390.648;74.496;155.145;319.929;75.985;212.61;79.785;104.383;57.219;33.845;3.5;207.208;97.327;46.731
201.5;270.533;346.609;297.665;296.722;313.068;323.457;232.07;232.462;223.258;217.075;-0.101;-0.101;54.389;68.641;103.629;80.094;79.636;282.287;335.738;284.687;99.753;16.517;86.884;80.702;70.278;149.643;355.213;385.707;73.495;152.547;314.563;74.807;209.394;79.963;104.906;56.788;34.015;3.402;200.328;93.953;45.008
202;268.354;345.023;291.954;293.139;314.796;322.98;229.597;228.441;222.888;215.73;-0.079;-0.079;53.772;67.662;102.365;78.558;78.637;280.302;333.468;282.998;99.646;16.388;87.179;80.445;68.719;147.052;349.807;380.895;72.126;150.218;308.161;73.789;206.224;79.715;104.759;56.726;34.196;3.304;194.005;91.332;43.427
202.5;264.213;340.485;287.063;289.028;314.11;323.25;226.969;224.942;221.473;213.893;-0.069;-0.069;53.283;66.922;101.054;77.616;77.506;278.356;329.994;279.582;99.366;16.358;89.335;80.744;67.426;143.761;344.37;375.448;70.739;148.455;302.507;73.131;202.722;79.534;104.171;56.663;34.158;3.212;188.194;88.456;42.093
203;259.705;335.197;283.219;284.157;314.89;321.974;224.079;221.405;220.602;212.579;-0.059;-0.059;53.049;66.389;99.641;76.655;76.483;276.181;327.676;276.111;99.007;16.259;89.389;80.624;66.412;141.089;339.191;370.6;69.234;145.787;297.624;72.345;199.199;79.388;103.425;56.834;33.936;3.121;182.822;85.679;40.973
203.5;255.951;333.138;278.38;279.513;314.06;320.6;220.064;218.806;219.295;212.782;-0.053;-0.053;52.566;65.651;98.265;75.648;75.616;273.417;324.643;273.088;98.978;16.095;89.305;79.961;65.535;138.641;333.38;363.671;68.636;143.504;293.054;70.939;195.323;79.52;103.069;56.646;33.675;3.01;177.546;83.211;39.874
204;252.246;328.674;273.301;274.714;312.638;319.468;217.184;216.026;219.619;213.671;-0.045;-0.045;51.858;64.977;96.762;74.75;74.763;270.511;320.565;269.863;98.646;16.068;89.126;78.626;64.195;136.304;327.488;356.636;67.953;140.803;288.45;69.659;191.473;79.117;102.513;56.282;33.383;2.919;173.313;80.725;38.668
204.5;247.188;322.987;267.022;268.457;308.677;319.214;213.873;212.486;219.882;214.594;-0.046;-0.046;51.075;64.245;95.424;73.847;73.848;266.527;316.735;266.816;98.258;15.818;88.501;77.523;63.37;133.804;321.376;349.498;66.572;138.539;283.402;68.148;187.947;78.104;101.499;55.813;33.097;2.852;169.314;78.7;37.699
205;242.806;316.367;261.304;263.484;304.128;317.103;210.212;208.804;220.022;214.413;-0.05;-0.05;50.056;63.564;93.934;73.066;72.886;263.306;312.034;263.99;97.913;15.741;87.859;76.244;62.324;131.288;315.487;342.65;65.316;135.679;277.8;67.072;184.279;76.817;100.226;55.223;32.583;2.795;165.371;76.953;36.756
205.5;239.057;312.082;255.87;259.218;300.94;314.397;206.136;204.359;219.415;213.32;-0.059;-0.059;49.13;62.77;92.478;72.412;72.17;259.647;306.882;260.134;97.538;15.663;85.65;75.625;61.264;129.023;309.473;335.793;64.055;132.976;271.549;65.554;180.509;75.985;99.166;54.541;32.063;2.756;161.724;75.177;35.926
206;235.159;308.607;252.773;255.947;297.916;310.718;203.158;200.338;219.47;212.938;-0.062;-0.062;48.213;62.143;91.295;71.541;71.451;256.1;302.198;256.791;97.112;15.65;84.003;74.681;59.929;126.822;303.463;329.147;63.191;130.379;266.732;64.18;176.147;74.849;98.155;53.54;31.454;2.739;157.838;73.396;34.934
206.5;232.225;304.401;248.55;251.805;292.079;305.139;199.584;196.373;219.387;213.024;-0.062;-0.062;47.547;61.371;90.081;70.532;70.922;252.844;296.999;253.064;96.603;15.652;81.137;72.67;58.747;124.19;296.867;323.162;62.196;127.941;261.159;62.856;171.479;73.512;96.794;52.38;31.003;2.697;154.329;71.547;34.141
207;228.098;297.71;243.68;247.318;286.714;301.025;195.285;192.595;218.926;212.221;-0.06;-0.06;46.867;60.547;88.894;69.521;70.12;248.493;293.042;248.914;96.252;15.563;78.964;71.584;57.296;122.208;290.288;318.018;60.535;125.617;255.537;61.308;167.467;71.846;94.6;51.255;30.445;2.659;151.484;70.095;33.149
207.5;223.5;291.278;239.289;242.645;280.668;295.366;191.528;189.046;217.829;211.273;-0.066;-0.066;46.304;59.866;87.674;68.601;69.16;243.65;288.088;243.671;95.534;15.534;77.8;70.362;55.927;119.477;284.418;311.887;59.004;123.261;250.836;59.522;163.438;70.214;92.148;50.132;29.673;2.61;148.251;68.401;32.119
